indicator_code,indicator_name,description,category,source,is_active,introduced_at,update_frequency_days,last_updated_at,update_policy_comment,description_full
atr_14,ATR 14,Zmienność rzeczywista 14 dni,risk,calculated,True,2026-01-16,1,2025-12-31,Aktualizacja dzienna,Średnia rzeczywista zmienność z 14 sesji (Average True Range)
average_volume_20d,Average Volume 20d,Średni wolumen 20 dni,volume_indicator,calculated,True,2026-01-16,1,2025-12-31,Aktualizacja dzienna,Średni wolumen obrotu z ostatnich 20 sesji
earnings_yield,Earnings Yield,Odwrotność wskaźnika P/E,fundamental,calculated,True,2026-01-12,1,2025-12-31,Aktualizacja dzienna,Odwrotność wskaźnika P/E (zysk do ceny)
ema_12,EMA 12,EMA 12,trend_short_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,Wykładnicza średnia krocząca z 12 sesji. Wskaźnik długoterminowego trendu; wartości początkowe zależą od historii (warm-up).
ema_20,EMA 20,EMA 20,trend_short_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,Wykładnicza średnia krocząca z 20 sesji. Wskaźnik średnioterminowego trendu; wartości początkowe zależą od historii (warm-up).
ema_200,EMA 200,EMA 200,trend_long_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,Wykładnicza średnia krocząca z 200 sesji. Wskaźnik długoterminowego trendu; wartości początkowe zależą od historii (warm-up).
ema_26,EMA 26,EMA 26,trend_mid_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,Wykładnicza średnia krocząca z 26 sesji. Wskaźnik długoterminowego trendu; wartości początkowe zależą od historii (warm-up).
ema_50,EMA 50,EMA 50,trend_mid_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,Wykładnicza średnia krocząca z 50 sesji. Wskaźnik średnioterminowego trendu; wartości początkowe zależą od historii (warm-up).
fut_barrier_100p_50p_20d,Fut. Barrier +100% / -50% (20D),Czy kurs w ciągu 20 sesji najpierw wzrośnie o 100% czy spadnie o 50%,future_barrier_short_term,calculated,True,2026-01-20,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+20 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_barrier_20p_12p_20d,Fut. Barrier +20% / -12% (20D),Czy kurs w ciągu 20 sesji najpierw wzrośnie o 20% czy spadnie o 12%,future_barrier_short_term,calculated,True,2026-01-20,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+20 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_barrier_20p_12p_2d,Fut. Barrier +20% / -12% (2D),Czy kurs w ciągu 2 sesji najpierw wzrośnie o 20% czy spadnie o 12%,future_barrier_very_short_term,calculated,True,2026-01-21,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+2 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_barrier_20p_12p_60d,Fut. Barrier +20% / -12% (60D),Czy kurs w ciągu 60 sesji najpierw wzrośnie o 20% czy spadnie o 12%,future_barrier_mid_term,calculated,True,2026-01-20,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+60 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_barrier_50p_20p_120d,Fut. Barrier +50% / -20% (120D),Czy kurs w ciągu 120 sesji najpierw wzrośnie o 50% czy spadnie o 20%,future_barrier_long_term,calculated,True,2026-01-20,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+120 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_barrier_50p_20p_20d,Fut. Barrier +50% / -20% (20D),Czy kurs w ciągu 20 sesji najpierw wzrośnie o 50% czy spadnie o 20%,future_barrier_short_term,calculated,True,2026-01-21,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+20 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_barrier_50p_20p_60d,Fut. Barrier +50% / -20% (60D),Czy kurs w ciągu 60 sesji najpierw wzrośnie o 50% czy spadnie o 20%,future_barrier_mid_term,calculated,True,2026-01-21,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+60 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_barrier_5p_3p_5d,Fut. Barrier +5% / -3% (5D),Czy kurs w ciągu 5 sesji najpierw wzrośnie o 5% czy spadnie o 3%,future_barrier_very_short_term,calculated,True,2026-01-20,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+5 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_imp_120,Wyliczenie wagi zmiany w okresie 120 dni,Wyliczenie wagi jak bardzo kurs zmieni się w okresie 120 dni,future_important_weight,calculated,True,2026-01-22,1,2025-12-31,Aktualizacja dzienna,Wyliczenie wagi jak bardzo kurs zmieni się w okresie 2 dni. Liczony według wzoru: fut_imp_120(t) = (fut_barrier_50p_20p_120d(t) * 1)
fut_imp_2,Wyliczenie wagi zmiany w okresie 2 dni,Wyliczenie wagi jak bardzo kurs zmieni się w okresie 2 dni,future_important_weight,calculated,True,2026-01-21,1,2025-12-31,Aktualizacja dzienna,Wyliczenie wagi jak bardzo kurs zmieni się w okresie 2 dni. Liczony według wzoru: fut_imp_2 = fut_barrier_20p_12p_2d * 64
fut_imp_20,Wyliczenie wagi zmiany w okresie 20 dni,Wyliczenie wagi jak bardzo kurs zmieni się w okresie 20 dni,future_important_weight,calculated,True,2026-01-22,1,2025-12-31,Aktualizacja dzienna,Wyliczenie wagi jak bardzo kurs zmieni się w okresie 2 dni. Liczony według wzoru: fut_imp_20(t) = (fut_barrier_100p_50p_20d(t) * 32) + (fut_barrier_50p_20p_20d(t)  * 16) + (fut_barrier_20p_12p_20d(t)  * 8)
fut_imp_60,Wyliczenie wagi zmiany w okresie 60 dni,Wyliczenie wagi jak bardzo kurs zmieni się w okresie 60 dni,future_important_weight,calculated,True,2026-01-22,1,2025-12-31,Aktualizacja dzienna,Wyliczenie wagi jak bardzo kurs zmieni się w okresie 2 dni. Liczony według wzoru: fut_imp_60(t) = (fut_barrier_50p_20p_60d(t) * 4) + (fut_barrier_20p_12p_60d(t)  * 2)
fut_signal_120,Future signal – sygnał impulsu (120 dni) ML,Pojawienie się impulsu w okresie 120 dni - idealny pod ML,future_signal,calculated,True,2026-01-23,1,2025-12-31,Aktualizacja dzienna,Pojawienie się impulsu wzrostowego lub spadkowego w okresie 120 dni - idealny pod ML
fut_signal_2,Future signal – sygnał impulsu (2 dni) ML,Pojawienie się bardzo silnego impulsu w okresie 2 dni - idealny pod ML,future_signal,calculated,True,2026-01-23,1,2025-12-31,Aktualizacja dzienna,Pojawienie się bardzo silnego impulsu wzrostowego lub spadkowego w okresie 2 dni - idealny pod ML
fut_signal_20,Future signal – sygnał impulsu (20 dni) ML,Pojawienie się impulsu w okresie 20 dni - idealny pod ML,future_signal,calculated,True,2026-01-23,1,2025-12-31,Aktualizacja dzienna,Pojawienie się impulsu wzrostowego lub spadkowego w okresie 20 dni - idealny pod ML
fut_signal_20_hyb,Future signal trading – trend 20 dni,Pojawienie się lub kontynuacja trendu w okresie 20 dni,future_signal,calculated,True,2026-01-23,1,2025-12-31,Aktualizacja dzienna,"Pojawienie się lub kontynuacja trendu w okresie 20 dni. Po 20 dniach sygnał odpowiada na inne pytanie: „czy trend znów przyspiesza lokalnie?”, a nie „czy trend jest najsilniejszy w historii? Oznacza to że nie każdy kolejny wzrost jest oznaczany jako kontynuacja trendu."
fut_signal_60,Future signal – sygnał impulsu (60 dni) ML,Pojawienie się impulsu w okresie 60 dni - idealny pod ML,future_signal,calculated,True,2026-01-23,1,2025-12-31,Aktualizacja dzienna,Pojawienie się impulsu wzrostowego lub spadkowego w okresie 60 dni - idealny pod ML
macd_hist,MACD Histogram,MACD histogram,technical,calculated,True,2026-01-16,1,2025-12-31,Aktualizacja dzienna,Różnica macd_line i macd_signal
macd_line,MACD line,MACD line,technical,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,MACD line = EMA(12) - EMA(26). Mierzy kierunek i siłę momentum trendu.
macd_signal,MACD Signal Line,MACD Signal Line (EMA 9),technical,calculated,True,2026-01-15,1,2025-12-31,Aktualizacja dzienna,"MACD Signal Line - 9-okresowa wykładnicza średnia krocząca (EMA) linii MACD, służąca do wygładzania jej zmian i identyfikacji sygnałów zmiany momentum trendu."
max_drawdown_252d,Max Drawdown 252d,Najw. obsunięcie kapitału 252 dni,risk,calculated,True,2026-01-16,1,2025-12-31,Aktualizacja dzienna,Największy procentowy spadek kapitału w oknie 252 dni
momentum_12m,Momentum 12M,12-miesięczna zmiana ceny,technical,calculated,True,2026-01-12,1,2025-12-31,Aktualizacja dzienna,12-miesięczna zmiana ceny akcji (ok. 252 sesje giełdowe)
mv,Market Value,Kapitalizacja rynkowa spółki,fundamental,stooq,True,2026-01-07,14,2025-12-31,Aktualizacja co 14 dni,Kapitalizacja rynkowa spółki
obv,OBV (On-Balance Volume),Kierunek kapitału,volume_indicator,calculated,True,2026-01-16,1,2025-12-31,Aktualizacja dzienna,Sumuje wolumen w zależności od zmiany ceny zamknięcia
pb,Price / Book,Cena do wartości księgowej,fundamental,stooq,True,2026-01-07,30,2025-12-31,Aktualizacja miesięczna,Cena do wartości księgowej
pe,Price / Earnings,Cena do zysku,fundamental,stooq,True,2026-01-07,30,2025-12-31,Aktualizacja miesięczna,Cena do zysku
rsi_14,RSI 14,Oscylator momentum,technical,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,"RSI (14) – oscylator momentum wg Wildera. Zakres 0–100. Wartości >70: wykupienie, <30: wyprzedanie."
sharpe_20d,Sharpe Ratio 20D,Uproszczony wsk. Sharpe,technical,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,Uproszczony wskaźnik Sharpe (20 dni): średni dzienny zwrot z 20 dni podzielony przez zmienność 20D. Wersja bez stopy wolnej od ryzyka.
sma_20,SMA 20D,SMA 20,trend_short_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,"Krótkoterminowa średnia krocząca (SMA 20) ceny zamknięcia, liczona na podstawie 20 ostatnich sesji giełdowych."
sma_200,SMA 200D,SMA 200,trend_long_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,"Długoterminowa średnia krocząca (SMA) z ceny zamknięcia, okno 200 sesji"
sma_50,SMA 50D,SMA 50,trend_mid_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,"Średnioterminowa średnia krocząca (SMA 50) ceny zamknięcia, liczona na podstawie 50 ostatnich sesji giełdowych."
tqs_60d,TQS 60d,Jakość trendu 60 dni,trend,calculated,True,2026-01-16,1,2025-12-31,Aktualizacja dzienna,Ocena jakości trendu na podstawie stosunku nachylenia do szumu w oknie 60 dni
volatility_20d,Volatility 20D,Zmienność ceny,technical,calculated,True,2026-01-12,1,2025-12-31,Aktualizacja dzienna,Zmienność ceny liczona jako odchylenie standardowe log-zwrotów z 20 sesji
vwap_20d,VWAP 20d,Śr. cena ważona wolumenem 20 dni,volume_indicator,calculated,True,2026-01-16,1,2025-12-31,Aktualizacja dzienna,Średnia cena zamknięcia ważona wolumenem z ostatnich 20 sesji
